Business Partner ID;ERP ISP ID;SAP Top Parent ID;SAP Top Parent Name;Customer Since Date Text;Organization Name1;Planning Entity;Default Address Street;Default Address Street2;Default Address Street3;Default Address Street4;Default Address House Number;Default Address City;Default Address Region;Default Address Region Descr;Default Address Postal Code;Default Address PO Box;Account Telephone Number;Account Web Address;Geo Level 1 Region Descr;, E;GEO Level 3 Country Descr;Account Owner ID;Account Owner Name;Account Executive ID;Account Executive Name;Primary DUNS Number;Turnover US Dollar Value;Turnover Local Currency Value;Turnover in MILLION Local Currency Value;Num Employees Local Value;Num Employees Global Value;SAP View Linkage Description;Internal Market Segment IMS Desc;Buying Product Relationship BPR Descr Concat;Internal Sales Segment ISS Descr;Archetype Descr;Internal Account Class IAC Current Descr;Active Status Description;Regional Buying Class RBC Descr;Default Master Code Descr;Default SIC Primary Code;Default SIC Primary Descr;Default Sales Org ID;Default Sales Org Descr;Default Sales Office Short;Default Sales Group Descr;Default Sales Office;Default Sales Office Descr;Default Sales Distribution Channel Descr;Default Sales Division Descr;Default Sales District;Default Sales District Descr;Multiple Address Role Descr;Account Relevancy Scaled Score;Account Main Tax Number;CNPJ_normalizado;cnpj_normalizadoapi
34928;180549;1132971;ATOS SE;19990330;Atos Brasil Ltda;4414929;Av Das Nacoes Unidas;Torre Norte Andar 19 Parte G;##;##;12901;São Paulo;SP;São Paulo;04578-910;##;(11) 3550 2000;https://atos.net/pt-br/brasil-atos/servicos-sap-e-s-4hana;Americas;Latin America Caribbean;Brazil;24750223;Jeremy ZERBIB;37022272;Andre Bernardes;899720429;75239701;379618149;#;3090;126294;Linked Account;Mid-Size Enterprise;SAP;Corporate;7-Move to Corporate;C-Digital;Customer with SW Contract;Dormant;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;9958;6,49437E+13;6,49437E+13;6,49437E+13
42378;#;2716868;CMA CGM;0;Ceva Logistics Ltda.;14419075;Avenida Fagundes De Oliveira   Vila;são José;##;Vila são José;1580;Diadema;SP;São Paulo;09950-300;##;(511) 3556-2408;www.br.cevalogistics.com;Americas;Latin America Caribbean;Brazil;35740863;Geraldine MION;37022272;Andre Bernardes;906721303;46337056;233791299;#;4750;4750;Linked Account;Mid-Size Enterprise;;Corporate;10-Prospects;C-Digital;Non Cust - With Transactions;Net New;Travel and Transportation;4225;General Warehousing and Storage;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To;0;4,38541E+13;4,38541E+13;4,38541E+13
42436;476169;1164571;Philips Electronics Nederland B.V.;0;Philips do Brasil Ltda.;42436;Av. Marcos Penteado Ulhôa Rodrigues, 939 1° andar;##;##;##;##;São Paulo;SP;São Paulo;06460-040;##;11 2124 2211;www.philips.com;Americas;Latin America Caribbean;Brazil;30519592;Sonja Sleeuwen;#;#;897340436;143685563;724958323;#;1700;12389;Linked Account;Mid-Size Enterprise;;Corporate;10-Prospects;C-Digital;Customer No Install;Net New;Consumer Products;3634;Electric Housewares and Fans;O 50002302;SAP Brazil;SOFF-SBMD;FL-BR MM DIG NNN;O 50513678;SL-BR MM Digital;Direct sales (SAP);all SAP products;BR;Brazil;Planning;780;6,10863E+13;6,10863E+13;6,10863E+13
44430;522036;32960;Koninklijke Douwe Egberts B.V.;20010608;Café do Ponto do Brasil S.A.;872010;Av Café do Ponto;##;##;##;336;Barueri;SP;São Paulo;06455-000;##;11 3957 7300;www.cafedoponto.com.br;Americas;Latin America Caribbean;Brazil;24743756;Thijs Verest;37022272;Andre Bernardes;926947143;63358347;319671371;#;0;0;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Active;Consumer Products;2095;Roasted Coffee;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Non-Sell-To;7499;2,33371E+12;2,33371E+12;2,33371E+12
159963;11633;1089563;thyssenkrupp AG;19891222;Thyssenkrupp Metalúrgica Campo;159963;Avenida Alfred Krupp;##;##;##;1050;Campo Limpo Paulista;SP;São Paulo;13231-900;##;11 4039 9300;www.kmcl.thyssenkrupp.com.br;Americas;Latin America Caribbean;Brazil;35507886;Markus Mueller;36031586;Daniela Justi;899004378;809693141;4085266258;#;2487;98216;Linked Account;Mid-Size Enterprise;SAP,BOBJ,Hybris;Corporate;7-Move to Corporate;C-Field;Customer with SW Contract;Dormant;Mill Products and Mining;3399;Prim.Metal Prdts,NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP FIELD MUL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9898;5,09421E+13;5,09421E+13;5,09421E+13
160254;15598;32598;ABB Asea Brown Boveri Ltd;20101209;ABB Ltda;160254;Av dos Autonomistas;##;##;##;1496;Osasco;SP;São Paulo;06020-902;##;11 3688 9111;www.abb.com.br;Americas;Latin America Caribbean;Brazil;32010010;Filippo Levati;37022272;Andre Bernardes;903325624;136536313;688887140;#;0;0;Linked Account;Mid-Size Enterprise;;Corporate;7-Move to Corporate;C-Digital;Customer Tech Install;Dormant;Industrial Manufacturing;3599;Industrial Machinery;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;7621;6,10748E+13;6,10748E+13;6,10748E+13
160376;22595;160864;IBM Corporation;0;IBM Brasil;161859;Rua Tutoia 1157;S PT 1/4 PT 5/8 12/20;##;Vl Mariana;##;São Paulo;SP;São Paulo;04007-900;##;(11)2132-3122;www.ibm.com.br;Americas;Latin America Caribbean;Brazil;7216579;Lance Holbert;37022272;Andre Bernardes;901222430;41974128;211778364;#;5845;290900;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer No Install;Dormant;Professional Services;7374;Computer Data Svcs;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;172;3,33723E+13;3,33723E+13;3,33723E+13
161102;31444;3844307;SANOFI AVENTIS;19961121;Aventis Brasil S.A.;2883031;Av. das Nações Unidas;##;##;##;18001;São Paulo;SP;São Paulo;04795-000;##;11 3759 6000;www.sanofi-aventis.com.br;Americas;Latin America Caribbean;Brazil;39067268;Ouiza AZZOUN;38466153;Henrique Giancoli;906715636;886622831;4473411162;#;#;#;Linked Account;Mid-Size Enterprise;Concur;Corporate;7-Move to Corporate;C-Digital;Customer with SW Contract;Dormant;Chemicals;2899;Chemicals, NEC;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;8686;7,73091E+11;7,73091E+11;7,73091E+11
161859;35202;160864;IBM Corporation;20041231;IBM Brasil - Indústria, Máquinas;161859;Rua Tutóia;S PT1/4 PT 5/8 12/20;##;##;1157;São Paulo;SP;São Paulo;04007-900;##;(11) 2132-3122;www.ibm.com;Americas;Latin America Caribbean;Brazil;7216579;Lance Holbert;37022272;Andre Bernardes;901222430;3525332967;17786891218;#;5845;290900;Linked Account;Mid-Size Enterprise;SAP,BOBJ,SuccessFactors;Corporate;2-Expand;C-Digital;Customer with SW Contract;Dormant;High Tech;3571;Computers;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;Sell-To, Planning;9935;3,34E+18;3,33723E+13;3,33723E+13
161860;35209;1993394;Accenture, LLP;20230823;Accenture Consulting S.C. Ltda.;8315411;Rua Alexandre Dumas;##;##;##;2.051;São Paulo;SP;São Paulo;04717-004;##;(11)5188-3200;http://www.accenture.com;Americas;Latin America Caribbean;Brazil;2396136;Scott Schwartzman;37022272;Andre Bernardes;902419279;1002822853;5059692563;#;1;1;Linked Account;Mid-Size Enterprise;;Corporate;8-Path to ERP;C-Digital;Customer with SW Contract;Dormant;Professional Services;8742;Management Consulting Services;O 50002302;SAP Brazil;SOFF-NAN;FL-BR CORP DIGITAL;O 50446593;SL-BR CORP;Direct sales (SAP);all SAP products;BR;Brazil;#;9514;9,65E+18;9,65341E+13;9,65341E+13
